filtersHeading,checkboxTitle,appendLeft5,checkboxTitle (2),appendLeft5 (2),checkboxTitle (3),appendLeft5 (3),checkboxTitle (4),appendLeft5 (4),linkText,boldFont,boldFont (2),boldFont (3),boldFont (4),button
Popular Filters,Non Stop,"₹ 6,008",Hide Nearby Airports,"₹ 6,008",IndiGo,"₹ 6,090",Air India,"₹ 7,000",+ 7 more,,,,,
Departure Airports,Noida International Airport (71Km),"₹ 6,368",Hindon Airport (32Km),"₹ 6,442",Indira Gandhi International Airport,"₹ 6,008",,,,,,,,
Arrival Airports,Navi Mumbai International Airport (25Km),"₹ 6,226",Chhatrapati Shivaji International Airport,"₹ 6,008",,,,,,,,,,
One Way Price,,,,,,,,,,,,,,
,Non Stop,"₹ 6,008",1 Stop,"₹ 6,090",,,,,,,,,,
Departure From New Delhi,,,,,,,,,,Before 6 am,6 am - 12 pm,12 pm - 6 pm,After 6 pm,
Arrival at Mumbai,,,,,,,,,,Before 6 am,6 am - 12 pm,12 pm - 6 pm,After 6 pm,
Airlines,Air India,"₹ 7,000",Air India Express,"₹ 6,209",Akasa Air,"₹ 6,130",IndiGo,"₹ 6,090",,,,,,
Aircraft Size,Small / Mid - size aircraft,"₹ 6,008",Large Aircraft,"₹ 7,000",,,,,,,,,,
Popular Filters,Non Stop,"₹ 6,008",Hide Nearby Airports,"₹ 6,008",IndiGo,"₹ 6,090",Air India,"₹ 7,000",+ 7 more,,,,,SCROLL TO TOP
Popular Filters,Non Stop,"₹ 6,008",Hide Nearby Airports,"₹ 6,008",IndiGo,"₹ 6,090",Air India,"₹ 7,000",+ 7 more,,,,,SCROLL TO TOP
